Surface,Weight,Actual Weight,Force1,Force2,Force3,Average,Static Friction,Observations,Weight (g):,96.4
Desk,0.0,96.4,0.1,0.1,0.1,0.1,0.3,,,
Desk,50.0,146.4,0.2,0.1,0.2,0.2,0.6,,,
Desk,100.0,196.4,0.4,0.5,0.6,0.5,1.0,jagged movement,,
Desk,200.0,296.4,0.7,0.7,0.8,0.7,1.6,jagged movement,,
Desk,500.0,596.4,1.4,1.3,1.5,1.4,3.0,jagged movement,,
Carpet,0.0,96.4,0.5,0.4,0.4,0.4,0.5,,,
Carpet,50.0,146.4,0.6,0.7,0.6,0.6,0.9,jagged movement,,
Carpet,100.0,196.4,0.9,0.8,0.8,0.8,1.5,jagged movement,,
Carpet,200.0,296.4,1.3,1.1,1.2,1.2,2.0,jagged movement,,
Carpet,500.0,596.4,1.8,2.0,1.9,1.9,3.0,jagged movement,,
Hallway,0.0,96.4,0.3,0.4,0.3,0.3,0.4,jagged movement,,
Hallway,50.0,146.4,0.5,0.6,0.4,0.5,0.6,,,
Hallway,100.0,196.4,0.7,0.8,0.7,0.7,0.9,,,
Hallway,200.0,296.4,0.9,1.0,0.9,0.9,1.4,jagged movement,,
Hallway,500.0,596.4,1.8,1.7,1.6,1.7,2.3,jagged movement,,
Fine Sandpaper,0.0,96.4,0.9,0.9,1.0,0.9,1.0,,,
Fine Sandpaper,50.0,146.4,1.4,1.5,1.5,1.5,1.6,jagged movement,,
Fine Sandpaper,100.0,196.4,1.6,1.7,1.6,1.6,1.8,jagged movement,,
Fine Sandpaper,200.0,296.4,2.4,2.5,2.5,2.5,3.0,jagged movement,,
Fine Sandpaper,500.0,596.4,4.4,4.6,4.7,4.6,,jagged movement,,
Coarse Sandpaper,0.0,96.4,1.2,1.1,1.2,1.2,1.8,jagged movement,,
Coarse Sandpaper,50.0,146.4,1.8,1.6,1.7,1.7,2.0,jagged movement,,
Coarse Sandpaper,100.0,196.4,2.4,2.3,2.2,2.3,3.0,jagged movement,,
Coarse Sandpaper,200.0,296.4,3.0,2.9,3.2,3.0,3.5,jagged movement,,
Coarse Sandpaper,500.0,596.4,,,,,,equipment could not handle,,